"Date","Record Number","Record Type","Module","Short Notes","Project Name","Status"
"12/05/2008","BLC3-200802735","Building/Historical/NA/NA","Building",,"AMER MART BLDG 2 W SPACE 889 A","APPR",
"12/05/2008","BLC3-200802733","Building/Historical/NA/NA","Building",,"AMER MART BLDG 2 W SPACE 887 A","Converted",
"12/05/2008","BLC3-200802737","Building/Historical/NA/NA","Building",,"AMER MART BLDG 2 W SPACE 899 A","APPR",
"12/05/2008","BLC3-200802736","Building/Historical/NA/NA","Building",,"AMER MART BLDG 2 W SPACES 9 B, 49, 51","APPR",
"12/05/2008","BLC3-200802719","Building/Historical/NA/NA","Building",,"MART 2 - SPEC SPACE","Converted",
"12/04/2008","BLC3-200802714","Building/Historical/NA/NA","Building",,"AMER MART BLDG 2 W SPACE 869B","APPR",
"12/04/2008","BLC3-200802712","Building/Historical/NA/NA","Building",,"AMER MART BLDG 2 W SPACE 897 A","APPR",
"12/04/2008","BLC3-200802715","Building/Historical/NA/NA","Building",,"AMER MART BLDG 2 W SPACE 879C","APPR",
"12/02/2008","BB-200806309","Building/Historical/NA/NA","Building",,"BLDG 1 - SUITE 16-A-15","Converted",
"11/19/2008","BCO-200803822","Building/Historical/NA/NA","Building",,"BLDG 2 WEST - SEVERAL SPACES","Converted",
"11/19/2008","BB-200806088","Building/Historical/NA/NA","Building",,"AMM BLDG2 STE:1125 A&B,1127 A&B","Converted",
"11/19/2008","BB-200806087","Building/Historical/NA/NA","Building",,"AMERICA MART BLDG2 WWSTE:10-B 75-78","Converted",
"11/19/2008","BB-200806091","Building/Historical/NA/NA","Building",,"AMERICAS MART, BLDG 1","Converted",
"11/14/2008","BLC3-200802553","Building/Historical/NA/NA","Building",,"BLDG 1 - SUITE 16-A-15","APPR",
"11/13/2008","BLC3-200802537","Building/Historical/NA/NA","Building",,"AMERICAS MART, BLDG 1","APPR",
"11/07/2008","BLC3-200802494","Building/Historical/NA/NA","Building",,"AMERICA MART BLDG2 WWSTE:10-B 75-78","APPR",
"11/06/2008","BB-200805906","Building/Historical/NA/NA","Building",,"AMER MART BLDG 2 WEST 684 B","Converted",
"11/06/2008","BB-200805905","Building/Historical/NA/NA","Building",,"BLDG 2 WEST - SUITE 9-C-98","Converted",
"11/05/2008","BLC3-200802470","Building/Historical/NA/NA","Building",,"AMM BLDG2 STE:1125 A&B,1127 A&B","APPR",
"10/30/2008","BCO-200803682","Building/Historical/NA/NA","Building",,"AMM-2WEST-768A-794B","Converted",
"10/30/2008","BB-200805785","Building/Historical/NA/NA","Building",,"AMER MART SUITE 1100 BLDG 2","Converted",
"10/30/2008","BB-200805788","Building/Historical/NA/NA","Building",,"BLDG 2 WEST - SEVERAL SPACES","Converted",
"10/29/2008","BLC3-200802406","Building/Historical/NA/NA","Building",,"AMER MART BLDG 2 WEST 684 B","APPR",
"10/27/2008","BLC3-200802374","Building/Historical/NA/NA","Building",,"BLDG 2 WEST - SUITE 9-C-98","APPR",
"10/27/2008","BLC3-200802372","Building/Historical/NA/NA","Building",,"BLDG 2 WEST - SEVERAL SPACES","APPR",
"10/24/2008","BLC3-200802364","Building/Historical/NA/NA","Building",,"AMER MART SUITE 1100 BLDG 2","APPR",
"10/16/2008","BCO-200803556","Building/Historical/NA/NA","Building",,"AMERICASMART BLDG 2 WW 768B & 794A","Converted",
"10/16/2008","BB-200805571","Building/Historical/NA/NA","Building",,"AMER MART BLDG 2 WEST 9B 59 60","Converted",
"10/10/2008","BLC3-200802245","Building/Historical/NA/NA","Building",,"AMER MART BLDG 2 WEST 9B 59 60","APPR",
"10/07/2008","BCO-200803404","Building/Historical/NA/NA","Building",,"AMER. MART BLDG. 2 WEST WING 787A","Converted",
"10/07/2008","BCO-200803402","Building/Historical/NA/NA","Building",,"MART 2 - WW SUITE - 698A & 696A","Converted",
"10/07/2008","BB-200805414","Building/Historical/NA/NA","Building",,"AMM-2WEST-768A-794B","Converted",
"09/09/2008","BB-200804914","Building/Historical/NA/NA","Building",,"MART 2 - WW SUITE - 698A & 696A","Converted",
"09/09/2008","BB-200804911","Building/Historical/NA/NA","Building",,"AMER. MART BLDG. 2 WEST WING 787A","Converted",
"09/09/2008","BCO-200803021","Building/Historical/NA/NA","Building",,"MART 2  WW - 682B","Converted",
"09/09/2008","BCO-200803023","Building/Historical/NA/NA","Building",,"MART 2 WW - 665 A&B","Converted",
"09/09/2008","BCO-200803024","Building/Historical/NA/NA","Building",,"MART 2 WW - 873B","Converted",
"09/09/2008","BB-200804918","Building/Historical/NA/NA","Building",,"AMERICASMART BLDG 2 WW 768B & 794A","Converted",
"09/09/2008","BCO-200803025","Building/Historical/NA/NA","Building",,"MART 2  WW - 682B","Converted",
"09/05/2008","BLC3-200801961","Building/Historical/NA/NA","Building",,"AMER. MART BLDG. 2 WEST WING 787A","APPR",
"09/02/2008","BLC3-200801935","Building/Historical/NA/NA","Building",,"MART 2 - WW SUITE - 698A & 696A","APPR",
"08/29/2008","BLC3-200801923","Building/Historical/NA/NA","Building",,"AMERICASMART BLDG 2 WW 768B & 794A","APPR",
"07/23/2008","BB-200804116","Building/Historical/NA/NA","Building",,"MART 2 WW -  783A","Converted",
"07/23/2008","BB-200804117","Building/Historical/NA/NA","Building",,"MART 2 WW - 665 A&B","Converted",
"07/23/2008","BB-200804118","Building/Historical/NA/NA","Building",,"MART 2  WW - 682B","Converted",
"07/23/2008","BB-200804120","Building/Historical/NA/NA","Building",,"MART 2 WW - 873B","Converted",
"07/15/2008","BLC3-200801542","Building/Historical/NA/NA","Building",,"MART 2 WW -  783A","APPR",
"07/15/2008","BLC3-200801553","Building/Historical/NA/NA","Building",,"MART 2 WW - 790","APPR",
"07/15/2008","BLC3-200801557","Building/Historical/NA/NA","Building",,"MART 2 WW - 873B","APPR",
"07/15/2008","BLC3-200801556","Building/Historical/NA/NA","Building",,"MART 2  WW - 682B","APPR",
"07/15/2008","BLC3-200801555","Building/Historical/NA/NA","Building",,"MART 2 WW - 665 A&B","APPR",
"04/21/2008","BB-200802301","Building/Historical/NA/NA","Building",,"MART 3 - SPACE 6-N-101 / AMERICA'S MART 3","Converted",
"04/17/2008","BLC3-200800824","Building/Historical/NA/NA","Building",,"MART 3 - SPACE 6-N-101 / AMERICA'S MART 3","APPR",
"03/17/2008","BHRP-200801285","Building/Historical/NA/NA","Building",,"APARTMENTS GEN REPAIRS-CH CONTRACTOR","Converted",
"03/17/2008","BHRP-200801284","Building/Historical/NA/NA","Building",,"APARTMENTS GEN REPAIRS-CH CONTRACTOR","Converted",
"03/17/2008","BHRP-200801287","Building/Historical/NA/NA","Building",,"APARTMENTS GEN REPAIRS-CH CONTRACTOR","Converted",
"03/17/2008","BHRP-200801276","Building/Historical/NA/NA","Building",,"APARTMENTS GEN REPAIRS-CH CONTRACTOR","Converted",
"03/17/2008","BHRP-200801281","Building/Historical/NA/NA","Building",,"APARTMENTS GEN REPAIRS-CH CONTRACTOR","Converted",
"03/17/2008","BHRP-200801275","Building/Historical/NA/NA","Building",,"APARTMENTS GEN REPAIRS-CH CONTRACTOR","Converted",
"03/17/2008","BHRP-200801280","Building/Historical/NA/NA","Building",,"APARTMENTS GEN REPAIRS-CH CONTRACTOR","Converted",
"03/17/2008","BHRP-200801278","Building/Historical/NA/NA","Building",,"APARTMENTS GEN REPAIRS-CH CONTRACTOR","Converted",
"03/17/2008","BHRP-200801283","Building/Historical/NA/NA","Building",,"APARTMENTS GEN REPAIRS-CH CONTRACTOR","Converted",
"03/17/2008","BHRP-200801282","Building/Historical/NA/NA","Building",,"APARTMENTS GEN REPAIRS-CH CONTRACTOR","Converted",
"03/17/2008","BHRP-200801277","Building/Historical/NA/NA","Building",,"APARTMENTS GEN REPAIRS-CH CONTRACTOR","Converted",
"03/17/2008","BHRP-200801272","Building/Historical/NA/NA","Building",,"APARTMENTS GEN REPAIRS-CH CONTRACTOR","Converted",
"03/17/2008","BHRP-200801274","Building/Historical/NA/NA","Building",,"APARTMENTS GEN REPAIRS-CH CONTRACTOR","Converted",
"03/17/2008","BHRP-200801279","Building/Historical/NA/NA","Building",,"APARTMENTS GEN REPAIRS-CH CONTRACTOR","Converted",
"03/17/2008","BHRP-200801273","Building/Historical/NA/NA","Building",,"APARTMENTS GEN REPAIRS-CH CONTRACTOR","Converted",
"03/17/2008","BHRP-200801271","Building/Historical/NA/NA","Building",,"APARTMENTS GEN REPAIRS-CH CONTRACTOR","Converted",
"03/17/2008","BHCP-200801270","Building/Historical/NA/NA","Building",,"APARTMENTS GEN REPAIRS-CH CONTRACTOR","Converted",
"03/07/2008","BB-200801269","Building/Historical/NA/NA","Building",,"APARTMENTS GEN REPAIRS-CH CONTRACTOR","Converted",
"03/07/2008","BBCC-200800026","Building/Historical/NA/NA","Building",,"APARTMENTS GEN REPAIRS-CH CONTRACTOR","Converted",
"12/17/2007","BB-200708561","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 19-D-6 THRU 19-E-12","Converted",
"12/17/2007","BB-200708562","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 13-E-2A THRU F-10","Converted",
"12/17/2007","BB-200708563","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1701 - 1705","Converted",
"12/10/2007","BLC3-200702837","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1701 - 1705 / AMERICA'S MART 2","Converted",
"12/10/2007","BLC3-200702835","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 19-D-6 THRU 19-E-12 / AMERICA'S MART 1","APPR",
"12/10/2007","BLC3-200702836","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 13-E-2A THRU F-10 / AMERICA'S MART 1","Converted",
"11/27/2007","BCO-200704288","Building/Historical/NA/NA","Building",,"GEN RE- BLDG 15 - CHG CONTRACTOR","Converted",
"11/15/2007","BLC3-200702656","Building/Historical/NA/NA","Building",,"BRIDGE LOBBIES @ FLOORS 8,9,10,11,13 / AMERICA'S MART 3","APPR",
"11/15/2007","BB-200707937","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1801","Converted",
"11/15/2007","BB-200707932","Building/Historical/NA/NA","Building",,"BRIDGE LOBBIES @ FLOORS 8,9,10,11,13","Converted",
"11/15/2007","BB-200707936","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 12-A-2","Converted",
"11/08/2007","BLC3-200702604","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1801 / AMERICA'S MART 2","APPR",
"11/05/2007","BLC3-200702558","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 12-A-2 / AMERICA'S MART 1","APPR",
"10/16/2007","BB-200707149","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1400","Converted",
"10/11/2007","BB-200707070","Building/Historical/NA/NA","Building",,"GEN RE- BLDG 15 - CHG CONTRACTOR","Converted",
"10/11/2007","BLC3-200702323","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1400 / AMERICA'S MART 2","APPR",
"10/10/2007","BBCC-200700194","Building/Historical/NA/NA","Building",,"GEN RE- BLDG 15 - CHG CONTRACTOR / PIEDMONT CENTER","Converted",
"10/10/2007","BB-200707037","Building/Historical/NA/NA","Building",,"GENERAL REPAIRS-WEB","Converted",
"10/05/2007","B-R4-200701817","Building/Historical/NA/NA","Building",,"GENERAL REPAIRS-WEB","APPR",
"10/02/2007","BB-200706808","Building/Historical/NA/NA","Building",,"MART 3 - SPACE 12-E-109 A","Converted",
"10/02/2007","BB-200706807","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1309","Converted",
"09/28/2007","BLC3-200702195","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1309 / AMERICA'S MART 2","APPR",
"09/25/2007","BLC3-200702168","Building/Historical/NA/NA","Building",,"MART 3 - SPACE 12-E-109 A / AMERICA'S MART 3","APPR",
"09/07/2007","BB-200706290","Building/Historical/NA/NA","Building",,"MART 2 - BLDG 2 - 1ST FLOOR","APPR",
"09/05/2007","BLC3-200701987","Building/Historical/NA/NA","Building",,"MART 2 - BLDG 2 - 1ST FLOOR / AMERICA'S MART 2","APPR",
"07/11/2007","BB-200704895","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 658 A","APPR",
"07/05/2007","BLC3-200701507","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 658 A / AMERICA'S MART 2","APPR",
"06/07/2007","BB-200704061","Building/Historical/NA/NA","Building",,"MART 3 - SPACE 12-S-337 A/B","Converted",
"06/06/2007","BLC3-200701277","Building/Historical/NA/NA","Building",,"MART 3 - SPACE 12-S-337 A/B / AMERICA'S MART 3","APPR",
"05/17/2007","BB-200703543","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1707","APPR",
"05/16/2007","BLC3-200701093","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1707 / AMERICA'S MART 2","APPR",
"05/11/2007","BB-200703411","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1215B - 1217A","APPR",
"05/11/2007","BB-200703409","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1734A","APPR",
"05/11/2007","BB-200703410","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1401","APPR",
"05/10/2007","BLC3-200701048","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1215B - 1217A / AMERICA'S MART 2","Converted",
"05/10/2007","BLC3-200701049","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1734A / AMERICA'S MART 2","Converted",
"05/10/2007","BLC3-200701047","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1401 / AMERICA'S MART 2","APPR",
"04/17/2007","BB-200702689","Building/Historical/NA/NA","Building",,"MART 1 - SPACE S-21 - 22ND PL","Converted",
"04/17/2007","BB-200702688","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1433","Converted",
"04/14/2007","BLC3-200700847","Building/Historical/NA/NA","Building",,"MART 1 - SPACE S-21 - 22ND PL / AMERICA'S MART 1","APPR",
"04/14/2007","BLC3-200700846","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1433 / AMERICA'S MART 2","APPR",
"04/11/2007","BB-200702531","Building/Historical/NA/NA","Building",,"MART 3 - SPACE 12-N-309 A & B","Converted",
"04/11/2007","BB-200702530","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 708 A & B","Converted",
"04/06/2007","BLC3-200700774","Building/Historical/NA/NA","Building",,"MART 3 - SPACE 12-N-309 A & B / AMERICA'S MART 3","APPR",
"04/06/2007","BLC3-200700773","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 708 A & B / AMERICA'S MART 2","APPR",
"03/26/2007","BB-200702046","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1416 A & B - 1428","Converted",
"03/19/2007","BLC3-200700593","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1416 A & B - 1428 / AMERICA'S MART 2","APPR",
"12/26/2006","BB-200609643","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 918-B","Converted",
"12/22/2006","BLC3-200602777","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 918-B / AMERICA'S MART 2","APPR",
"11/08/2006","BB-200608550","Building/Historical/NA/NA","Building",,"MART 3 - SPACE 9-W-361","Converted",
"11/08/2006","BLC3-200602412","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 17-C-11 / AMERICA'S MART 1","APPR",
"11/08/2006","BLC3-200602413","Building/Historical/NA/NA","Building",,"MART 3 - SPACE 9-W-361 / AMERICA'S MART 3","APPR",
"11/08/2006","BB-200608549","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 17-C-11","APPR",
"10/04/2006","BB-200607624","Building/Historical/NA/NA","Building",,"MART 2 - OPERATIONS OFFICE @ 1ST FLR","Converted",
"10/04/2006","BB-200607626","Building/Historical/NA/NA","Building",,"MART 3-SPACE 13-E-110B,111A,325,13-N-305","Converted",
"10/04/2006","BB-200607623","Building/Historical/NA/NA","Building",,"MART 3 - SPACE 13-N-311 A","Converted",
"10/04/2006","BB-200607627","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 6-C-3","Converted",
"10/04/2006","BB-200607628","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 6-F-9","Converted",
"10/04/2006","BLC3-200602110","Building/Historical/NA/NA","Building",,"MART 3 - SPACE 12-W-101 / AMERICA'S MART 3","APPR",
"10/04/2006","BLC3-200602111","Building/Historical/NA/NA","Building",,"MART 3-SPACE 13-E-110B,111A,325,13-N-305 / AMERICA'S MART 3","APPR",
"10/04/2006","BLC3-200602112","Building/Historical/NA/NA","Building",,"MART 3 - SPACE 13-N-311 A / AMERICA'S MART 3","APPR",
"10/04/2006","BB-200607622","Building/Historical/NA/NA","Building",,"MART 3 - SPACE 12-W-101","Converted",
"10/02/2006","BLC3-200602095","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 6-F-9 / AMERICA'S MART 1","APPR",
"10/02/2006","BLC3-200602096","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 6-C-3 / AMERICA'S MART 1","APPR",
"10/02/2006","BLC3-200602097","Building/Historical/NA/NA","Building",,"MART 2 - OPERATIONS OFFICE @ 1ST FLR / AMERICA'S MART 2","APPR",
"09/14/2006","BLC3-200601958","Building/Historical/NA/NA","Building",,"MART 3 - SPACE 7-W-361 A / AMERICA'S MART 3","APPR",
"09/14/2006","BB-200607133","Building/Historical/NA/NA","Building",,"MART 3 - SPACE 7-W-361 A","Converted",
"08/08/2006","BLC3-200601665","Building/Historical/NA/NA","Building",,"MART 2 - MEZZANINE / AMERICA'S MART 2","APPR",
"08/08/2006","BB-200606115","Building/Historical/NA/NA","Building",,"MART 2 - MEZZANINE","Converted",
"06/27/2006","BB-200604850","Building/Historical/NA/NA","Building",,"MART 3 - SPACE 12-N-100","Converted",
"06/26/2006","BLC3-200601314","Building/Historical/NA/NA","Building",,"MART 3 - SPACE 12-N-100 / AMERICA'S MART 3","APPR",
"06/15/2006","BB-200604486","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1823 B - 1825 A","Converted",
"06/12/2006","BLC3-200601189","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1823 B - 1825 A / AMERICA'S MART 2","APPR",
"05/25/2006","BLC3-200601048","Building/Historical/NA/NA","Building",,"MART 3 - SPACE 12-W-369 / AMERICA'S MART 3","APPR",
"05/25/2006","BB-200603937","Building/Historical/NA/NA","Building",,"MART 3 - SPACE 12-W-369","Converted",
"04/24/2006","BCO-200601492","Building/Historical/NA/NA","Building",,"MART 2 - STREET LEVEL","Converted",
"04/12/2006","BB-200602624","Building/Historical/NA/NA","Building",,"GEN REP -CHANGE CONTRACTOR","Converted",
"04/10/2006","BBCC-200600068","Building/Historical/NA/NA","Building",,"GEN REP -CHANGE CONTRACTOR","Converted",
"04/05/2006","BB-200602433","Building/Historical/NA/NA","Building",,"MART 2 - STREET LEVEL","Converted",
"04/05/2006","BB-200602432","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1237","Converted",
"04/04/2006","BLC3-200600668","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1237 / AMERICA'S MART 2","APPR",
"04/04/2006","BLC3-200600669","Building/Historical/NA/NA","Building",,"MART 2 - STREET LEVEL / AMERICA'S MART 2","APPR",
"03/23/2006","BBCC-200600048","Building/Historical/NA/NA","Building",,"CHANGE OF CONTRACTOR - GEN REP","Converted",
"02/28/2006","BB-200601357","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1121","Converted",
"02/27/2006","BLC3-200600377","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1121 / AMERICA'S MART 2","APPR",
"12/07/2005","BB-200508830","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 9-E-8","Converted",
"12/07/2005","BB-200508829","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 909","Converted",
"11/29/2005","BLC3-200502706","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 909 / AMERICA'S MART 2","APPR",
"11/29/2005","BLC3-200502705","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 9-E-8 / AMERICA'S MART 1","APPR",
"11/10/2005","BB-200508261","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 801-B - 803-A","Converted",
"11/10/2005","BB-200508260","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 17-A-23","Converted",
"11/09/2005","BLC3-200502573","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 801-B - 803-A / AMERICA'S MART 2","APPR",
"11/09/2005","BLC3-200502574","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 17-A-23 / AMERICA'S MART 1","APPR",
"10/26/2005","BB-200507775","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1805","Converted",
"10/25/2005","BLC3-200502445","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1805 / AMERICA'S MART 2","APPR",
"10/21/2005","BB-200507684","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1117-B","Converted",
"10/21/2005","BB-200507685","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 17-A-9","Converted",
"10/21/2005","BB-200507686","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1413-B THRU 1415","Converted",
"10/20/2005","BLC3-200502424","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1413-B THRU 1415 / AMERICA'S MART 2","APPR",
"10/20/2005","BLC3-200502411","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1117-B / AMERICA'S MART 2","APPR",
"10/17/2005","BLC3-200502383","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 17-A-9 / AMERICA'S MART 1","APPR",
"07/22/2005","BB-200505405","Building/Historical/NA/NA","Building",,"CHANGE OF CONTRACTOR FOR GEN REP","COMP",
"07/21/2005","BBCC-200500095","Building/Historical/NA/NA","Building",,"CHANGE OF CONTRACTOR FOR GEN REP","APPR",
"07/01/2005","BB-200504816","Building/Historical/NA/NA","Building",,"MART 3 - SPACE 14-N-201 - 203","Converted",
"06/30/2005","BLC3-200501462","Building/Historical/NA/NA","Building",,"MART 3 - SPACE 14-N-201 - 203 / AMERICA'S MART 3","APPR",
"06/16/2005","BB-200504376","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1534-A","Converted",
"06/16/2005","BB-200504377","Building/Historical/NA/NA","Building",,"MART 1 - SUITE 12-A-2","Converted",
"06/15/2005","BLC3-200501319","Building/Historical/NA/NA","Building",,"MART 1 - SUITE 12-A-2 / AMERICA'S MART 1","APPR",
"06/15/2005","BLC3-200501320","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1534-A / AMERICA'S MART 2","APPR",
"05/19/2005","BB-200503576","Building/Historical/NA/NA","Building",,"MART 2 - SUITE 1818","Converted",
"05/19/2005","BB-200503575","Building/Historical/NA/NA","Building",,"MART 2 - SUITE 752 B / AMERICA'S MART 2","Converted",
"05/18/2005","BLC3-200501087","Building/Historical/NA/NA","Building",,"MART 2 - SUITE 752 B / AMERICA'S MART 2","APPR",
"05/18/2005","BLC3-200501088","Building/Historical/NA/NA","Building",,"MART 2 - SUITE 1818 / AMERICA'S MART 2","APPR",
"04/29/2005","BEEP-200505270","Building/Historical/NA/NA","Building",,"GEN REP - CHANGE CONTRACTOR","APPR",
"04/11/2005","BBCC-200500038","Building/Historical/NA/NA","Building",,"GEN REP - CHANGE CONTRACTOR","Converted",
"04/11/2005","BB-200502545","Building/Historical/NA/NA","Building",,"GEN REP - CHANGE CONTRACTOR","Converted",
"04/11/2005","BECC-200504383","Building/Historical/NA/NA","Building",,"GEN REP / CHANGE OF CONTRACTOR","APPR",
"04/06/2005","BB-200502403","Building/Historical/NA/NA","Building",,"MART 3 - SPACE 9-S-118 & 346A","Converted",
"04/06/2005","BB-200502404","Building/Historical/NA/NA","Building",,"MART 1 - 9TH FLOOR CORRIDOR","Converted",
"04/05/2005","BLC3-200500707","Building/Historical/NA/NA","Building",,"MART 3 - SPACE 9-S-118 & 346A / AMERICA'S MART 3","APPR",
"04/04/2005","BLC3-200500706","Building/Historical/NA/NA","Building",,"MART 1 - 9TH FLOOR CORRIDOR / AMERICA'S MART 1","APPR",
"12/10/2004","BB-200408899","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1141","Converted",
"12/10/2004","BB-200408898","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1700","Converted",
"12/10/2004","BB-200408897","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1701 & 1712","Converted",
"12/10/2004","BB-200408896","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 19-E-15","Converted",
"12/09/2004","BLC3-200402577","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1141 / AMERICA'S MART 2","APPR",
"12/09/2004","BLC3-200402579","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1701 & 1712 / AMERICA'S MART 2","APPR",
"12/09/2004","BLC3-200402576","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1700 / AMERICA'S MART 2","APPR",
"12/09/2004","BLC3-200402594","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 19-E-15 / AMERICA'S MART 1","APPR",
"11/23/2004","BB-200408447","Building/Historical/NA/NA","Building",,"MART 3 - SPACE 13-N-101A","Converted",
"11/23/2004","BB-200408446","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1016 A","Converted",
"11/23/2004","BB-200408445","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1812 & 1838","Converted",
"11/23/2004","BLC3-200402490","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1812 & 1838 / AMERICA'S MART 2","APPR",
"11/23/2004","BLC3-200402488","Building/Historical/NA/NA","Building",,"MART 3 - SPACE 13-N-101A / AMERICA'S MART 3","APPR",
"11/23/2004","BLC3-200402489","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1016 A / AMERICA'S MART 2","APPR",
"11/03/2004","BB-200407865","Building/Historical/NA/NA","Building",,"MART 2 - SUITE 1700","Converted",
"11/03/2004","BB-200407864","Building/Historical/NA/NA","Building",,"MART 2 - SUITE 1027","Converted",
"11/03/2004","BB-200407863","Building/Historical/NA/NA","Building",,"MART 1 - SUITE 12-A-2","APPR",
"11/02/2004","BLC3-200402307","Building/Historical/NA/NA","Building",,"MART 2 - SUITE 1027 / AMERICA'S MART 2","APPR",
"11/02/2004","BLC3-200402308","Building/Historical/NA/NA","Building",,"MART 1 - SUITE 12-A-2 / AMERICA'S MART 1","APPR",
"11/01/2004","BLC3-200402304","Building/Historical/NA/NA","Building",,"MART 2 - SUITE 1700 / AMERICA'S MART 2","APPR",
"10/21/2004","BLC3-200402205","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 19-E-1,3 / AMERICA'S MART 1","APPR",
"10/21/2004","BB-200407530","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 19-E-1,3 / AMERICA'S MART 1","APPR",
"10/13/2004","BB-200407274","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1800 & 1837","Converted",
"10/07/2004","BLC3-200402101","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1800 & 1837 / AMERICA'S MART 2","APPR",
"10/04/2004","B-R4-200401756","Building/Historical/NA/NA","Building",,"GENERAL REPAIRS","APPR",
"10/04/2004","BB-200407028","Building/Historical/NA/NA","Building",,"GENERAL REPAIRS","Converted",
"09/27/2004","BB-200406809","Building/Historical/NA/NA","Building",,"AMERICA'S MART-BLDG 2 STE 1708A","Converted",
"09/23/2004","BLC3-200401983","Building/Historical/NA/NA","Building",,"AMERICA'S MART-BLDG 2 STE 1708A / AMERICA'S MART 1","APPR",
"08/11/2004","BB-200405701","Building/Historical/NA/NA","Building",,"SPACE 20-E 10,12","Converted",
"08/09/2004","BLC3-200401601","Building/Historical/NA/NA","Building",,"SPACE 20-E 10,12 / AMERICA'S MART 1","APPR",
